40087.75000,DAV,2,10.94,40086.34848,173,-0.5,-18,0.0000e+00,0,19,0.63,0.49,2.2,0.3,0.10,211
40087.75000,DAV,2,12.76,40086.36458,184,-0.5,52,0.0000e+00,0,20,0.00,0.43,2.3,0.6,0.13,430
40087.75000,DAV,2,14.81,40086.37500,220,0.0,0,0.0000e+00,5,18,0.00,1.00,2.5,0.9,0.40,770
40087.75000,DAV,2,18.34,40087.25000,113,0.0,0,0.0000e+00,8,4,0.00,1.00,1.8,1.4,0.79,770
40086.12500,DAV,2,2.11,40086.08333,163,-0.5,-43,0.0000e+00,0,18,0.97,0.50,2.2,0.3,0.08,110
40086.12500,DAV,2,4.23,40086.08333,163,-1.2,-32,0.0000e+00,0,18,0.98,0.50,2.1,0.3,0.08,110
40086.12500,DAV,2,6.34,40086.08333,163,-1.2,37,0.0000e+00,0,18,0.97,0.50,2.1,0.3,0.08,110
40086.25000,DAV,2,2.11,40086.08333,164,-0.3,-25,0.0000e+00,0,18,0.92,0.50,2.2,0.3,0.08,110
40086.25000,DAV,2,4.22,40086.08333,164,-0.8,-23,0.0000e+00,0,18,0.94,0.50,2.2,0.3,0.08,110
40086.25000,DAV,2,6.33,40086.08333,163,-1.2,-18,0.0000e+00,0,18,0.93,0.50,2.2,0.3,0.08,110
40086.37500,DAV,2,9.49,40086.17131,161,-0.2,0,0.0000e+00,0,18,0.92,0.50,2.1,0.3,0.08,110
40086.37500,DAV,2,14.28,40086.35878,157,0.0,0,0.0000e+00,0,17,0.97,0.50,2.1,0.3,0.08,110
40086.37500,DAV,2,16.40,40086.37500,159,0.0,0,0.0000e+00,0,17,0.98,0.50,2.1,0.3,0.08,110
40086.50000,DAV,2,14.17,40086.23414,161,-0.9,-0,0.0000e+00,0,18,0.89,0.50,2.1,0.3,0.08,110
40086.50000,DAV,2,16.28,40086.37500,157,0.0,0,0.0000e+00,1,16,0.38,0.80,2.1,0.3,0.08,220
40086.62500,DAV,2,13.99,40086.23387,163,-0.7,-0,0.0000e+00,0,18,0.85,0.49,2.1,0.3,0.08,110
40086.62500,DAV,2,16.11,40086.37500,155,0.0,0,0.0000e+00,4,13,0.00,1.00,2.1,0.4,0.15,770
40086.75000,DAV,2,11.87,40086.21207,164,-1.5,-33,0.0000e+00,0,18,0.85,0.49,2.2,0.3,0.08,110
40086.75000,DAV,2,13.77,40086.36458,176,-2.0,206,0.0000e+00,0,19,0.51,0.47,2.2,0.4,0.10,220
40086.75000,DAV,2,15.88,40086.37500,153,0.0,0,0.0000e+00,5,11,0.00,1.00,2.1,0.7,0.33,770
40086.87500,DAV,2,11.64,40086.21153,168,-2.8,-58,0.0000e+00,0,18,0.79,0.49,2.2,0.3,0.09,121
40086.87500,DAV,2,13.47,40086.36458,183,-3.4,369,0.0000e+00,0,20,0.15,0.45,2.3,0.5,0.11,241
40086.87500,DAV,2,15.58,40086.37500,150,0.0,0,0.0000e+00,1,15,0.00,1.00,2.1,0.8,0.37,770
40087.00000,DAV,2,11.46,40086.21168,170,-1.6,-26,0.0000e+00,0,19,0.74,0.49,2.2,0.3,0.09,121
40087.00000,DAV,2,13.29,40086.36458,183,-2.8,23,0.0000e+00,0,20,0.00,0.43,2.3,0.5,0.12,430
40087.00000,DAV,2,15.37,40086.37500,149,-1.8,76,0.0000e+00,0,16,0.00,1.00,2.1,0.8,0.38,772
40086.12500,DAV,2,2.11,40086.08333,163,-0.5,-43,0.0000e+00,0,18,0.97,0.50,2.2,0.3,0.08,110
40086.12500,DAV,2,4.23,40086.08333,163,-1.2,-32,0.0000e+00,0,18,0.98,0.50,2.1,0.3,0.08,110
40086.12500,DAV,2,6.34,40086.08333,163,-1.2,37,0.0000e+00,0,18,0.97,0.50,2.1,0.3,0.08,110
40086.25000,DAV,2,2.11,40086.08333,164,-0.3,-25,0.0000e+00,0,18,0.92,0.50,2.2,0.3,0.08,110
40086.25000,DAV,2,4.22,40086.08333,164,-0.8,-23,0.0000e+00,0,18,0.94,0.50,2.2,0.3,0.08,110
40086.25000,DAV,2,6.33,40086.08333,163,-1.2,-18,0.0000e+00,0,18,0.93,0.50,2.2,0.3,0.08,110
40086.37500,DAV,2,9.49,40086.17131,161,-0.2,0,0.0000e+00,0,18,0.92,0.50,2.1,0.3,0.08,110
40086.37500,DAV,2,14.28,40086.35878,157,0.0,0,0.0000e+00,0,17,0.97,0.50,2.1,0.3,0.08,110
40086.37500,DAV,2,16.40,40086.37500,159,0.0,0,0.0000e+00,0,17,0.98,0.50,2.1,0.3,0.08,110
40086.50000,DAV,2,14.17,40086.23414,161,-0.9,-0,0.0000e+00,0,18,0.89,0.50,2.1,0.3,0.08,110
40086.50000,DAV,2,16.28,40086.37500,157,0.0,0,0.0000e+00,1,16,0.38,0.80,2.1,0.3,0.08,220
40086.62500,DAV,2,13.99,40086.23387,163,-0.7,-0,0.0000e+00,0,18,0.85,0.49,2.1,0.3,0.08,110
40086.62500,DAV,2,16.11,40086.37500,155,0.0,0,0.0000e+00,4,13,0.00,1.00,2.1,0.4,0.15,770
40086.75000,DAV,2,11.87,40086.21207,164,-1.5,-33,0.0000e+00,0,18,0.85,0.49,2.2,0.3,0.08,110
40086.75000,DAV,2,13.77,40086.36458,176,-2.0,206,0.0000e+00,0,19,0.51,0.47,2.2,0.4,0.10,220
40086.75000,DAV,2,15.88,40086.37500,153,0.0,0,0.0000e+00,5,11,0.00,1.00,2.1,0.7,0.33,770
40086.87500,DAV,2,11.64,40086.21153,168,-2.8,-58,0.0000e+00,0,18,0.79,0.49,2.2,0.3,0.09,121
40086.87500,DAV,2,13.47,40086.36458,183,-3.4,369,0.0000e+00,0,20,0.15,0.45,2.3,0.5,0.11,241
40086.87500,DAV,2,15.58,40086.37500,150,0.0,0,0.0000e+00,1,15,0.00,1.00,2.1,0.8,0.37,770
40087.00000,DAV,2,11.46,40086.21168,170,-1.6,-26,0.0000e+00,0,19,0.74,0.49,2.2,0.3,0.09,121
40087.00000,DAV,2,13.29,40086.36458,183,-2.8,23,0.0000e+00,0,20,0.00,0.43,2.3,0.5,0.12,430
40087.00000,DAV,2,15.37,40086.37500,149,-1.8,76,0.0000e+00,0,16,0.00,1.00,2.1,0.8,0.38,772
40086.12500,DAV,2,2.33,40086.08333,163,-0.4,-34,0.0000e+00,0,18,0.98,0.50,2.2,0.3,0.08,110
40086.12500,DAV,2,4.66,40086.08333,163,-1.1,-27,0.0000e+00,0,18,0.98,0.50,2.1,0.3,0.08,110
40086.12500,DAV,2,7.00,40086.08333,163,-1.1,26,0.0000e+00,0,18,0.98,0.50,2.1,0.3,0.08,110
40086.25000,DAV,2,2.33,40086.08333,164,-0.3,-22,0.0000e+00,0,18,0.94,0.50,2.2,0.3,0.08,110
40086.25000,DAV,2,4.65,40086.08333,164,-0.8,-21,0.0000e+00,0,18,0.95,0.50,2.2,0.3,0.08,110
40086.25000,DAV,2,6.98,40086.08333,163,-1.2,-17,0.0000e+00,0,18,0.94,0.50,2.2,0.3,0.08,110
40086.37500,DAV,2,22.97,40086.26855,158,-0.5,0,0.0000e+00,0,17,0.95,0.50,2.1,0.3,0.08,110
40086.37500,DAV,2,24.99,40086.37500,159,0.0,0,0.0000e+00,0,17,0.98,0.50,2.1,0.3,0.08,110
40086.50000,DAV,2,22.77,40086.26853,160,-1.1,-0,0.0000e+00,0,17,0.91,0.50,2.1,0.3,0.08,110
40086.50000,DAV,2,24.79,40086.37500,157,0.0,0,0.0000e+00,1,16,0.80,0.59,2.1,0.3,0.08,121
40086.62500,DAV,2,20.72,40086.26095,161,-0.9,-10,0.0000e+00,0,18,0.91,0.50,2.1,0.3,0.08,110
40086.62500,DAV,2,22.55,40086.35417,171,-1.0,112,0.0000e+00,0,19,0.58,0.48,2.2,0.4,0.09,220
40086.62500,DAV,2,24.56,40086.37500,155,0.0,0,0.0000e+00,3,13,0.00,1.00,2.1,0.4,0.12,770
40086.75000,DAV,2,20.59,40086.26122,162,-0.2,-0,0.0000e+00,0,18,0.90,0.50,2.1,0.3,0.08,110
40086.75000,DAV,2,22.41,40086.35417,172,0.0,0,0.0000e+00,0,19,0.00,1.00,2.2,0.4,0.10,330
40086.75000,DAV,2,24.42,40086.37500,152,0.0,0,0.0000e+00,7,9,0.00,1.00,2.1,0.9,0.42,770
40086.87500,DAV,2,20.34,40086.26092,164,-2.0,-35,0.0000e+00,0,18,0.86,0.50,2.2,0.3,0.08,110
40086.87500,DAV,2,22.16,40086.35417,172,-3.5,387,0.0000e+00,0,19,0.00,0.98,2.2,0.5,0.12,330
40086.87500,DAV,2,24.16,40086.37500,150,0.0,0,0.0000e+00,3,13,0.00,1.00,2.1,1.0,0.51,770
40087.00000,DAV,2,20.05,40086.26074,166,-2.3,-19,0.0000e+00,0,18,0.82,0.50,2.2,0.3,0.09,110
40087.00000,DAV,2,21.87,40086.35417,172,-3.3,52,0.0000e+00,0,19,0.00,0.95,2.2,0.6,0.14,330
40087.00000,DAV,2,23.86,40086.37500,148,-1.9,93,0.0000e+00,0,16,0.00,1.00,2.1,1.0,0.52,772
